registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
42347,HEPATRIET                                   ,gel tópico x 60 g       ,1000 UI/g,Craveri             ,heparina                                ,5678001,7792234000026
42348,HEXALER CORT                                ,comp.rec.x 10           ,5/0.6 mg,Investi             ,desloratadina+betametasona              ,5681843,7795380010529
42349,HEXALER CORT                                ,jbe.x 60 ml             ,5/0.25 mg/5 ml,Investi             ,desloratadina+betametasona              ,5681971,7795380010512
42352,PEDIASURE                                   ,Vainilla pvo.x 400 g    , No Clasificada,Abbott              ,proteínas+grasas+carbohid.+asoc.        ,9942352,8710428002709
42353,PEDIASURE                                   ,Chocolate pvo.x 400 g   , No Clasificada,Abbott              ,proteínas+grasas+carbohid.+asoc.        ,9942353,8710428001450
42354,ROGASTRIL                                   ,sol.x 90 ml             ,20 mg/100 ml,Roemmers            ,cinitapride                             ,4942872,7795345120768
42355,ULCOZOL RAPID 20                            ,20 mg caps.x 28         ,20/1100 mg,Bagó                ,"omeprazol+sodio,bicarbonato             ",5781392,7790375267018
42397,SEROQUEL XR                                 ,50 mg comp.x 30         ,50 mg Retard,Bagó                ,quetiapina                              ,5738133,7790375267025
42398,SEROQUEL XR                                 ,200 mg comp.x 30        ,200 mg Retard,Bagó                ,quetiapina                              ,5738263,7790375266929
42399,SEROQUEL XR                                 ,300 mg comp.x 30        ,300 mg Retard,Bagó                ,quetiapina                              ,5738393,7790375266936
42400,SEROQUEL XR                                 ,400 mg comp.x 30        ,400 mg Retard,Bagó                ,quetiapina                              ,5738423,7790375266943
42401,DIOXAFLEX CB                                ,50 mg caps.blandas x 30 ,50 mg,Bagó                ,diclofenac sódico                       ,4647354,7790375267155
42402,DIOXAFLEX                                   ,50 mg comp.mast.x 10    ,50 mg,Bagó                ,diclofenac sódico                       ,5657682,7790375266370
42408,BIDECAR                                     ,50 mg comp.ran.x 28     ,50 mg,Baliarda            ,carvedilol                              ,5740133,7795338016290
42409,ALTARGO                                     ,ung.x 5 g               , No Clasificada,GlaxoSmithKline     ,retapamulina                            ,5751841,7794640402951
42411,FOSAMAX PLUS                                ,70 mg/5600 UI comp.x 4  ,70/5600 mg/UI,Merck Sharp & Do    ,alendronato+vit.d3                      ,5757391,7797991150205
42415,BETASERC                                    ,16 mg comp.x 30         ,16 mg,Abbott              ,betahistina                             ,4407513,7790440508510
42416,BETASERC                                    ,24 mg comp.x 30         ,24 mg,Abbott              ,betahistina                             ,5753421,7790440508619
42417,PARMITAL                                    ,0.125 mg comp.x 30      ,0.125 mg,Raffo               ,pramipexol                              ,5754711,7798084685109
42418,PARMITAL                                    ,0.25 mg comp.x 30       ,0.25 mg,Raffo               ,pramipexol                              ,5754841,7798084685116
42419,PARMITAL                                    ,1 mg comp.x 30          ,1 mg,Raffo               ,pramipexol                              ,5754971,7798084685123
42424,CETAPHIL HUMECTANTE                         ,emuls.x 237 ml          , No Clasificada,Galderma            ,aceite de macadamia+asoc.               ,9942424,0302993918080
42455,CONTOUR TS                                  ,meter kit               , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000074,5016003181306
42456,CONTOUR TS                                  ,meter basic             , No Clasificada,Bayer Consumer      ,accesorio                               ,5000007,5016003181405
42457,CONTOUR TS                                  ,sensores x 25           , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000071,5016003182501
42458,CONTOUR TS                                  ,sensores x 50           , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000072,5016003182303
42459,CONTOUR TS                                  ,sensores x 100          , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000073,5016003182402
42460,CONTOUR TS                                  ,sol.cont.norm.x1 x 2.5ml, No Clasificada,Bayer Consumer      ,accesorio                               ,5000076,7793640004097
42468,QUINOMED L                                  ,gts.oft.x 5 ml          ,0.5 mg/ml,Bausch & Lomb Ar    ,levofloxacina                           ,5753391,7798069050694
42470,ACRYLARM PLUS                               ,gel oft.x 10 g          ,0.2 g %,Poen                ,carbomer                                ,5687391,7795368055344
42473,BESTOX DUO                                  ,duopack comp.x60 (30+30),4/5 mg,Buxton              ,doxazosina+finasteride                  ,5793681,7791992885166
42497,GALVUS MET                                  ,50/850 mg comp.x 60     , No Clasificada,Novartis            ,vildagliptin+metformina                 ,5761552,7795306157130
42498,GALVUS MET                                  ,50/1000 mg comp.x 60    , No Clasificada,Novartis            ,vildagliptin+metformina                 ,5761682,7795306157154
42505,CLOQ                                        ,comp.rec.x 20           ,50 mg,Trb-Pharma          ,tramadol                                ,864642,7795371459337
42506,CLOQ PLUS                                   ,comp.rec.x 10           ,37.5/325 mg,Trb-Pharma          ,tramadol+paracetamol                    ,868361,7795371459351
42509,RESTASIS                                    ,viales x 30unids.x 0.4ml,0.05 g %,Allergan-Loa        ,ciclosporina                            ,5138152,7795316915553
42510,PROATS 0.25                                 ,0.25 mg comp.ran.x 30   ,0.25 mg,Richmond            ,pramipexol                              ,5674133,7795348251070
42511,PROATS 1                                    ,1 mg comp.ran.x 30      ,1 mg,Richmond            ,pramipexol                              ,5674263,7795348251100
42557,OSTEOMAR                                    ,70 mg comp.x 4          ,70 mg,Ferring             ,alendronato                             ,5750711,7795309002529
42562,PAMPAR 20                                   ,20 mg comp.x 15         ,20 mg,Finadiet            ,pantoprazol                             ,5276841,7791171001622
42563,PAMPAR 20                                   ,20 mg comp.x 30         ,20 mg,Finadiet            ,pantoprazol                             ,5276842,7791171001639
42564,PAMPAR 40                                   ,40 mg comp.x 15         ,40 mg,Finadiet            ,pantoprazol                             ,5276911,7791171001646
42565,PAMPAR 40                                   ,40 mg comp.x 30         ,40 mg,Finadiet            ,pantoprazol                             ,5276912,7791171101629
42570,VEFREN FLEX                                 ,comp.rec.x 10           ,400/250 mg,Baliarda            ,ibuprofeno+clorzoxazona                 ,5195631,7795338016313
42573,VEFREN FLEX                                 ,comp.rec.x 20           ,400/250 mg,Baliarda            ,ibuprofeno+clorzoxazona                 ,5195632,7795338016320
42574,ARZIMOL B                                   ,cr.x 15 g               , No Clasificada,Lazar               ,"fusídico,ác.+betametasona               ",5658711,7795347973201
42576,AMPLIAR PLUS                                ,10/10 mg comp.x 30      ,10/10 mg,Casasco             ,atorvastatín+ezetimibe                  ,5795681,7791909295019
42577,AMPLIAR PLUS                                ,20/10 mg comp.x 30      ,20/10 mg,Casasco             ,atorvastatín+ezetimibe                  ,5795711,7791909295088
42578,AMARYL M                                    ,2 mg/1 g comp.rec.x 15  ,2/1 mg/g,Sanofi-Aventis      ,glimepiride+metformina                  ,5773841,7795312107587
42579,AMARYL M                                    ,2 mg/1 g comp.rec.x 30  ,2/1 mg/g,Sanofi-Aventis      ,glimepiride+metformina                  ,5773842,7795312107594
42580,AMARYL M                                    ,4 mg/1 g comp.rec.x 15  ,4/1 mg/g,Sanofi-Aventis      ,glimepiride+metformina                  ,5773971,7795312107600
42581,AMARYL M                                    ,4 mg/1 g comp.rec.x 30  ,4/1 mg/g,Sanofi-Aventis      ,glimepiride+metformina                  ,5773972,7795312107617
42587,REQUIP                                      ,0.25 mg comp.x 12       ,0.25 mg,GlaxoSmithKline     ,ropinirol                               ,4310152,7794640261220
42588,REQUIP                                      ,0.50 mg comp.x 21       ,0.5 mg,GlaxoSmithKline     ,ropinirol                               ,4310233,7794640261237
42589,REQUIP                                      ,1 mg comp.x 21          ,1 mg,GlaxoSmithKline     ,ropinirol                               ,4310313,7794640261244
42590,REQUIP                                      ,2 mg comp.x 21          ,2 mg,GlaxoSmithKline     ,ropinirol                               ,4310493,7794640261251
42591,TANVIMIL ACD FLUOR                          ,sol.x 30 ml             , No Clasificada,Raymos              ,vit.a+vit.c+vit.d+flúor                 ,5784681,7791763337979
42592,INTENSIT                                    ,200 mg comp.x 10        ,200 mg,AstraZeneca         ,modafinilo                              ,5731001,7795351982978
42593,INTENSIT                                    ,200 mg comp.x 20        ,200 mg,AstraZeneca         ,modafinilo                              ,5731002,7795351982985
42595,ULCOZOL                                     ,40 mg caps.x 28         ,40 mg,Bagó                ,omeprazol                               ,3149223,7790375002374
